interaction_id,timestamp,source_id,target_id,interaction_type,content_topic_1,content_topic_2,content_topic_3,content_topic_4,content_topic_5,content_topic_6,content_topic_7,content_topic_8,content_topic_9,content_topic_10,window_id
1,2023-01-01 00:20:20,65,67,like,,,,,,,,,,,0
0,2023-01-01 00:20:55,19,15,share,,,,,,,,,,,0
2,2023-01-01 00:58:18,36,3,like,,,,,,,,,,,2
3,2023-01-01 01:52:53,66,5,like,,,,,,,,,,,6
4,2023-01-01 05:12:42,97,0,comment,0.0478969731441274,0.034232460703462,0.1483024690274721,0.0825134572780248,0.0103705906086203,0.5242330378796453,0.4396656335675122,0.0990693448799611,0.4261047236235846,0.1256187313921658,19
7,2023-01-01 06:30:37,87,79,like,,,,,,,,,,,24
6,2023-01-01 06:46:06,7,60,like,,,,,,,,,,,25
5,2023-01-01 06:52:30,77,6,like,,,,,,,,,,,26
11,2023-01-01 07:14:28,80,5,comment,0.0628202138970731,0.1155346619669662,0.0395027021214292,0.391491255392477,0.0200628623339489,0.0350498272211305,0.2303899524238559,0.2573164694678693,0.293761935968569,0.2577893036006651,27
17,2023-01-01 07:27:14,25,-1,post,0.0147710837064503,0.4881842568426848,0.3194830225948795,0.1675782027603307,0.1065058469292402,0.6465926423915734,0.0569797954631194,0.3944488816668071,0.1328718262623326,0.3483759816752265,28
12,2023-01-01 07:28:13,58,21,comment,0.006253666874084,0.291529307328249,0.4671144803955845,0.0829940873223457,0.1739610089079571,0.3557977803338783,0.1787356511408586,0.1947908436530021,0.1761685796093969,0.204854628218021,28
15,2023-01-01 07:30:46,87,79,share,,,,,,,,,,,28
10,2023-01-01 07:30:54,76,2,comment,0.073588577203832,0.0225005677973595,0.4208227485923581,0.0241993579116233,0.4238581560180285,0.5196993362469566,0.0044827906825418,0.0113671763767576,0.8044076266421343,0.247357784871103,28
18,2023-01-01 07:33:01,81,79,comment,0.233347859003793,0.2991949345697791,0.0128553908039195,0.1495353374381363,0.109149772333292,0.2395755045638227,0.2080806375972886,0.3101072066507573,0.0186785176273644,0.3883996095319263,28
13,2023-01-01 07:36:30,97,50,comment,0.0878602928760887,0.1859468274906571,0.0832848582533371,0.2445779963502985,0.2978240840900675,0.0950618539508755,0.2638432022126433,0.1511384531817841,0.1127637318854371,0.1745207435154084,29
9,2023-01-01 07:39:23,32,90,share,,,,,,,,,,,29
16,2023-01-01 07:51:06,79,93,like,,,,,,,,,,,30
8,2023-01-01 07:54:17,78,70,like,,,,,,,,,,,30
14,2023-01-01 07:55:56,51,80,share,,,,,,,,,,,30
35,2023-01-01 08:00:27,43,52,comment,0.1531416414516462,0.2727466606762949,0.0580102434668256,0.3257120615900459,0.0617588092440165,0.029318004470783,0.0602568988429,0.0180406062238566,0.0043376366167934,0.0397768704886829,30
26,2023-01-01 08:01:12,21,23,comment,0.0781606522374837,0.1894116832130504,0.2750494126256422,0.1393555093605422,0.1563186262745744,0.3600543666219388,0.3097302359815864,0.2441050035089182,0.3205072353842643,0.0125860462439498,30
19,2023-01-01 08:04:43,36,2,like,,,,,,,,,,,30
21,2023-01-01 08:08:26,4,71,comment,0.108896294264651,0.4889691842439613,0.0409650434134609,0.3953748231147226,0.0793540493221062,0.0324577519446365,0.4206250518898636,0.0842128399310944,0.2721895019259005,0.4141047412666025,31
37,2023-01-01 08:12:23,8,63,comment,0.1774222906518432,0.147752665119572,0.3315775419580278,0.3719631581968919,0.0844899863308975,0.3430122678670203,0.0570690168790557,0.0679206764231496,0.3983472371252213,0.0270770240626406,31
33,2023-01-01 08:15:09,90,12,like,,,,,,,,,,,31
27,2023-01-01 08:16:38,43,52,like,,,,,,,,,,,31
30,2023-01-01 08:19:20,54,44,comment,0.2790042651972884,0.2106483124574153,0.1623941558444904,0.0555814122819596,0.526719104142523,0.0416010285652179,0.3826788895560241,0.6341039612263479,0.3606283905061144,0.4922562820115139,31
22,2023-01-01 08:23:14,50,45,share,,,,,,,,,,,32
20,2023-01-01 08:25:44,20,39,comment,0.2480109533307412,0.5495352105373325,0.3601615983197448,0.1052305503749781,0.1748440803019059,0.1759839994945642,0.5093167566705521,0.1052275607756649,0.0358299075085493,0.3900066584884654,32
32,2023-01-01 08:28:46,99,91,comment,0.5815923969801713,0.3969657375386162,0.1488228992374713,0.1369233021409942,0.2594590219726352,0.1358824448331095,0.0234948828196996,0.204136752722999,0.1707409660671634,0.7378510737573063,32
36,2023-01-01 08:32:06,61,12,like,,,,,,,,,,,32
25,2023-01-01 08:33:31,65,18,like,,,,,,,,,,,32
29,2023-01-01 08:34:46,99,68,comment,0.3116567434507753,0.1465517604675777,0.0070825288008805,0.0229001533723376,0.135711838415877,0.0448287105218583,0.097127592872989,0.3680880046706307,0.0279920012086593,0.2078676928317566,32
23,2023-01-01 08:39:02,26,21,comment,0.1633888970425705,0.3264348157588602,0.0720217671081315,0.0294929034642245,0.1226725673284016,0.2762424074095347,0.4170061835254795,0.2333605446223648,0.367854534892138,0.2023033617079863,33
31,2023-01-01 08:39:02,60,50,like,,,,,,,,,,,33
24,2023-01-01 08:40:08,34,37,like,,,,,,,,,,,33
34,2023-01-01 08:44:14,25,35,comment,0.3500203940095905,0.044021640153602,0.1498951362112957,0.3355964098541225,0.0730963385311389,0.6960797083067543,0.1323740655238183,0.1748905547441559,0.4218619290002747,0.0994303286726584,33
28,2023-01-01 08:45:35,90,25,comment,0.0766756544885412,0.2792116258782022,0.1387078228693327,0.4959471388188015,0.3668673133868148,0.335747080751641,0.444260183023262,0.3323300430088866,0.0657589034989783,0.5124514862729768,33
46,2023-01-01 09:03:17,2,36,like,,,,,,,,,,,34
45,2023-01-01 09:04:04,71,90,share,,,,,,,,,,,34
41,2023-01-01 09:04:57,80,92,comment,0.2634894396054218,0.4863657561260997,0.5931672471772308,0.7986011863410469,0.011691314376919,0.0686039948510103,0.0290244531229626,0.4172457761845187,0.1127113245019842,0.1715955673439169,34
44,2023-01-01 09:11:31,34,51,like,,,,,,,,,,,35
54,2023-01-01 09:11:47,87,79,comment,0.0649385891675504,0.1566468119823298,0.2179659004693671,0.0328588952332014,0.3809915678562828,0.0857836798285357,0.3592924304031863,0.1125501645489593,0.1438070310834563,0.2242958264644857,35
56,2023-01-01 09:13:31,1,19,comment,0.1751000573135486,0.0746392786846788,0.4163781704989204,0.0907048031770853,0.6057431347884846,0.0420429905961367,0.1202487210391107,0.0788278022536185,0.4641643562952489,0.0028438616151044,35
58,2023-01-01 09:17:06,39,19,like,,,,,,,,,,,35
59,2023-01-01 09:18:39,77,-1,post,0.0356301162031202,0.1597901965702255,0.2050158456964714,0.2216414090662649,0.185029107856587,0.3065853495313816,0.1779984267783957,0.2055356537350315,0.1964255684942084,0.1276585781274679,35
47,2023-01-01 09:21:46,77,-1,post,0.0146397984867141,0.0623597347190429,0.1411008688071302,0.191592550564266,0.0535250859181714,0.5836457691765831,0.436910996649765,0.0429700280115681,0.00333903766397,0.3223151413094591,36
49,2023-01-01 09:24:41,48,-1,post,0.2253817691811108,0.086680880687819,0.6286614821306359,0.0725296294781537,0.1631175502510549,0.3148374520513176,0.2128457892376888,0.1967402346099202,0.0745748452196339,0.27182901805347,36
42,2023-01-01 09:26:53,3,47,like,,,,,,,,,,,36
52,2023-01-01 09:29:09,8,24,comment,0.0068869259173226,0.6648967478555909,0.338338606868366,0.4535590561080191,0.2911916949793307,0.1964222341520606,0.2203486947240778,0.078343136409182,0.1394780754244765,0.2373266622233507,36
51,2023-01-01 09:29:21,40,64,comment,0.2221621113808053,0.424160342835875,0.4411164906204859,0.2676759549259679,0.0182375932422482,0.1488393355979106,0.1165296053803504,0.3221859937172269,0.3314134820928143,0.5670360643637165,36
39,2023-01-01 09:30:13,3,36,like,,,,,,,,,,,36
50,2023-01-01 09:32:04,25,-1,post,0.107837598505038,0.234348226979985,0.3156324086858787,0.0454196683267785,0.0104512457671567,0.3728128946011585,0.0458937771253375,0.0334753454057941,0.2159369548269537,0.0340376239991913,36
55,2023-01-01 09:34:22,34,37,share,,,,,,,,,,,36
40,2023-01-01 09:47:02,28,71,comment,0.0195624360007603,0.3329201139458919,0.4040922745785558,0.0710768233094607,0.3104252039847021,0.340935987596863,0.1266305791542238,0.0955147407158411,0.0384914708809964,0.2530392396994219,37
38,2023-01-01 09:47:53,98,81,like,,,,,,,,,,,37
43,2023-01-01 09:48:34,21,-1,post,0.3759228993994893,0.3083031589914135,0.2110679517205974,0.4095039690193109,0.1830325726406743,0.064552370006401,0.4220975763561782,0.3070417753333501,0.072068275798859,0.2363745789115302,37
57,2023-01-01 09:49:33,96,51,share,,,,,,,,,,,37
60,2023-01-01 09:52:42,28,74,like,,,,,,,,,,,38
53,2023-01-01 09:58:39,93,9,share,,,,,,,,,,,38
48,2023-01-01 09:58:45,52,43,like,,,,,,,,,,,38
74,2023-01-01 10:00:56,53,64,comment,0.784618107726578,0.1752818868424998,0.0305358745975629,0.0235900782385705,0.1822752236849648,0.0930736530788525,0.3428337042803566,0.1554407685013773,0.1644933084501565,0.1512846956453211,38
63,2023-01-01 10:06:08,7,49,like,,,,,,,,,,,39
71,2023-01-01 10:06:25,57,36,like,,,,,,,,,,,39
87,2023-01-01 10:08:20,84,-1,post,0.0886910138493665,0.039786614247016,0.0317373867595193,0.0806957031503999,0.0380249193282199,0.1932547792622069,0.8984433317650942,0.0074986809219448,0.3148017827658241,0.0483225928396383,39
73,2023-01-01 10:11:09,12,90,share,,,,,,,,,,,39
61,2023-01-01 10:15:11,3,47,like,,,,,,,,,,,39
75,2023-01-01 10:15:25,40,64,like,,,,,,,,,,,39
72,2023-01-01 10:15:46,59,60,comment,0.0612965755187835,0.3439335318947709,0.0636506823914246,0.0077027901083363,0.2869844815262785,0.0851292433795279,0.2855081687059345,0.1049187967108833,0.1872144214701783,0.2266799066699401,39
84,2023-01-01 10:17:17,68,97,comment,0.2471350947487237,0.1451998407211435,0.0110194205655239,0.3041128218391774,0.0889305465359371,0.5048453252288334,0.206778711540723,0.3451660018025541,0.1797871046138864,0.1653988997325041,39
78,2023-01-01 10:19:25,29,0,comment,0.0078944612419752,0.2366515232561864,0.3269712249943546,0.1855703052478765,0.0483875545929997,0.1860684981843873,0.1526240586230819,0.3768439306208936,0.397875022623478,0.1986330764883679,39
64,2023-01-01 10:20:22,14,89,comment,0.1527733622502585,0.7110799684048995,0.0467042565042634,0.0525523932822006,0.0946859060679169,0.0859786092697709,0.1857684441695992,0.3839775615035304,0.118379877043092,0.0930042723459225,40
69,2023-01-01 10:21:35,3,47,comment,0.4525134920297048,0.174999384773733,0.1134847296593325,0.2292016399102962,0.3062791833215835,0.2977675335772378,0.5603603937824136,0.0493383461710555,0.1780800634351335,0.2447192925123602,40
65,2023-01-01 10:31:20,91,99,share,,,,,,,,,,,40
85,2023-01-01 10:32:06,3,47,like,,,,,,,,,,,40
68,2023-01-01 10:32:10,99,-1,post,0.5114559416409843,0.1621187770353193,0.1037111330917053,0.1734116147964649,0.1873773308013762,0.4752846763560725,0.1606172329752105,0.254517143988175,0.1050877697685586,0.1008592021138714,40
67,2023-01-01 10:32:24,7,49,comment,0.1990840202530475,0.1684646001150597,0.1838019801220244,0.0609363210535798,0.2251658651018302,0.408962567674035,0.1725810513595657,0.3659229508517691,0.2465567717436264,0.4202058022413729,40
83,2023-01-01 10:32:40,82,22,like,,,,,,,,,,,40
70,2023-01-01 10:33:50,68,57,like,,,,,,,,,,,40
81,2023-01-01 10:40:04,75,41,like,,,,,,,,,,,41
82,2023-01-01 10:42:57,75,93,comment,0.4573575345676652,0.2512729179404618,0.1208834308258825,0.259711990858404,0.2812308860134975,0.2234414577538759,0.1401548312988221,0.3259288724046388,0.1027872328374712,0.0540909488903475,41
86,2023-01-01 10:45:54,94,79,comment,0.111503354187797,0.137732242302677,0.3693030673327981,0.2347226679841167,0.5007010163034045,0.2670230394030264,0.5338704464611871,0.2757646907782721,0.1839736612579458,0.0848779565633624,41
76,2023-01-01 10:46:16,71,-1,post,0.0487084179256761,0.0687473739521874,0.1823488642813019,0.0210645909536357,0.0046030154602142,0.0330590135657928,0.6472523030287665,0.0455212948566227,0.1238464205960267,0.3219482203010123,41
62,2023-01-01 10:47:40,9,50,like,,,,,,,,,,,41
66,2023-01-01 10:51:22,7,49,like,,,,,,,,,,,42
80,2023-01-01 10:52:16,37,-1,post,0.1539849331200583,0.3727518018246474,0.223628387234581,0.2232679718960318,0.0178094063196301,0.4341040297877683,0.1202865572352764,0.455744781287915,0.1066869990872969,0.7069503470231292,42
77,2023-01-01 10:59:11,1,19,like,,,,,,,,,,,42
79,2023-01-01 10:59:22,64,40,comment,0.5294378362318386,0.0166488146759539,0.105330374026605,0.0466705841664914,0.3993812786089832,0.3865826664013527,0.0704785007447711,0.0897440958144714,0.127664807976192,0.1074658337373295,42
94,2023-01-01 11:00:20,50,-1,post,0.4794011818205168,0.0552404415678898,0.3002428620777656,0.4055506236233268,0.0284054586169929,0.1152525947019756,0.0711802829000976,0.3027826378447473,0.0800539011860929,0.1193601262294628,42
117,2023-01-01 11:00:58,87,79,like,,,,,,,,,,,42
90,2023-01-01 11:01:15,47,-1,post,0.1410928424734044,0.1587449681231875,0.2134887817625116,0.1133329930255966,0.3011278437748553,0.0255478479038957,0.1342848110425449,0.1392761720269534,0.0850949024792012,0.0673823640684865,42
116,2023-01-01 11:03:09,19,-1,post,0.0084705699954343,0.0099923978337903,0.783709001900913,0.3556683822091601,0.0179325406770133,0.3580192485653026,0.0724355306264273,0.1258335107854981,0.0311908230311634,0.5050322394415944,42
115,2023-01-01 11:04:38,78,79,like,,,,,,,,,,,42
88,2023-01-01 11:04:46,96,47,like,,,,,,,,,,,42
110,2023-01-01 11:05:06,87,79,like,,,,,,,,,,,42
91,2023-01-01 11:07:57,20,83,like,,,,,,,,,,,43
105,2023-01-01 11:08:40,36,3,comment,0.1717113742913319,0.1170296612941852,0.55000035156334,0.104135872252293,0.003135145999481,0.2084248799241896,0.0625057444917407,0.1059336508441384,0.0817711061121089,0.1571389919696244,43
109,2023-01-01 11:09:33,60,-1,post,0.2654555845382623,0.2664601170982584,0.087295337711311,0.0550152158293883,0.3056506643407293,0.0555225110446115,0.1516214131124838,0.1337571883852677,0.3162089582834118,0.2542354182401083,43
103,2023-01-01 11:09:57,72,45,like,,,,,,,,,,,43
92,2023-01-01 11:15:04,97,50,share,,,,,,,,,,,43
108,2023-01-01 11:16:09,47,-1,post,0.2320307608693616,0.2832740189089947,0.1966705900762204,0.7206734154137254,0.1817706018081967,0.0165345512954879,0.2384100097778728,0.1198058745328606,0.209190618667174,0.1208723820598895,43
89,2023-01-01 11:18:06,51,91,like,,,,,,,,,,,43
113,2023-01-01 11:18:47,70,78,share,,,,,,,,,,,43
114,2023-01-01 11:22:04,6,53,like,,,,,,,,,,,44
101,2023-01-01 11:22:56,92,43,like,,,,,,,,,,,44
95,2023-01-01 11:24:23,80,-1,post,0.190319942175233,0.2189234385595366,0.238086125853868,0.2498781926422424,0.257886625421885,0.0737871618948629,0.0752168427907059,0.3756263863491156,0.1611730444828363,0.160865302290912,44
97,2023-01-01 11:26:09,26,12,like,,,,,,,,,,,44
93,2023-01-01 11:32:14,89,56,comment,0.0783512146004488,0.1498268380237484,0.0504512064607308,0.0968133815203221,0.1341744351893996,0.18025074943761,0.1150678882810355,0.3592145807535701,0.2073284748303458,0.2666054080562636,44
118,2023-01-01 11:33:26,25,35,comment,0.1374332155745998,0.0426144260471078,0.1216655551324241,0.4896846791700216,0.1886988654054066,0.3813129046740779,0.002107408643153,0.3023353251361721,0.0940951475910056,0.1862105566843351,44
100,2023-01-01 11:37:26,83,-1,post,0.23232141969436,0.1154430957730172,0.4241919492067991,0.4630192258882628,0.1592423087723272,0.6039878230190076,0.0704529135825954,0.2455278804897907,0.153277354009223,0.0706531832878744,45
106,2023-01-01 11:37:31,31,-1,post,0.0556385887822085,0.14917008669107,0.3780933779502226,0.1607267923846861,0.269213261850086,0.1743570275828073,0.3454292343222218,0.4366901475399092,0.1034429277945251,0.1081610418891254,45
